Metric,Score,Percentage
Accuracy,0.9990467111534795,99.90467111534795
Precision,0.9990438045417481,99.90438045417481
Recall,0.9990467111534795,99.90467111534795
F1 Score,0.9990444643383218,99.90444643383218
