Metric,Score,Percentage
Accuracy,0.9977756593581188,99.77756593581188
Precision,0.9977875677372906,99.77875677372906
Recall,0.9977756593581188,99.77756593581188
F1 Score,0.9977808494492112,99.77808494492112
